Code,Name,Description,Vector,Credits,Price,Availability,Equivalences,Exclusion,Prereq1,Prereq2,Prereq3,Prereq4,Coreq1,Coreq2,isHonours,maxCredits
ANTH327,Things: Exploring Material Cultures,"Drawing on anthropology, archaeology and material culture studies, this course examines the value, significance and meaning of the material world, and the role of objects and things in the production of social life and culture. Past and present examples include commodities, ritualized gift exchanges, food, and the role of social media and new technology in shaping human interactions.",,3,,0;1;0;0,,,3,ANTH100;ANTH103,,,,,,
ANTH344,Encounters with Sciences of Life: Ethnographic Approaches,The anthropology of science with an emphasis on biosciences (life sciences and environmental sciences). Focus on ethnographic approaches to tracing and interpreting knowledge-making practices about living entities and processes.,,3,,1;0;0;0,,,3,,,,,,,
ANTH345,Living in the Anthropocene,The human impact on the environment is now so far-reaching that the term Anthropocene is being used to refer to the current geological epoch. An examination of the defining characteristics of this time period and its implications for future engagements of humans with more-than-human worlds.,,3,,0;1;0;0,ANTH490,,3,ANTH100;SUST104,,,,,,
ANTH354,Imagining Africa Otherwise,"Introduction to ""Africa"" as a rhetorical construct and to the study of the African continent as a nexus of world-making innovation. Combines theoretical critiques from Black studies, African/a studies, and postcolonial theory, as well as African popular culture, to deconstruct common portrayals of Africa.",,3,,0;1;0;0,,,3,ANTH100,,,,,,
ANTH355,Development and the Politics of Aid,"An examination and critique of the social and cultural foundations of development, as both discourse and practice, and the close relationship of development aid and ideologies with contemporary forms of global capitalism.",,3,,0;1;0;0,,,3,ANTH100,,,,,,
ANTH375,Economic Anthropology,"Investigation of the ways in which human desire is controlled, expressed, and manifested in economic activity; the relationship of economic anthropology to neo-classical economics, traditional political economy, and current approaches to conceptualizing the relationship between culture and economics.",,3,,1;0;0;0,,,,Complex,,,,,,
ANTH377,Sociolinguistics,"Examines the sociopolitical organization of language variation: multilingualism; dialectology; and the use of language to indicate formality, ethnicity, gender, age, political attitudes, socio-economic status, and class.",,3,,1;0;0;0,,,3,ANTH100;ANTH170,,,,,,
ANTH400,History of Anthropology,Review of anthropological theory and practice beginning with the origin of the discipline in the late nineteenth century and ending with the contemporary period.,,3,,1;0;0;0,,,3,ANTH100,,,,,,
ANTH401,Contemporary Theory in Anthropology,"Key theoretical orientations and debates since the 1980s with emphasis on questions of representation, globalization, and the application of anthropological theory and research to contemporary social issues.",,3,,0;1;0;0,ANTH300,,3,ANTH100,,,,,,
ANTH414,"Love, Marriage, and Family: New Kinship Studies","An anthropological exploration of kinship as a symbolic ordering of human relationships and reproduction. Emphasis is on the naturalization of nuclear family and marriage forms such as monogamy, and on changes in relatedness through new technologies, socio-legal processes, and mobility.",,3,,0;1;0;0,,,3,ANTH100,,,,,,
ANTH427,(In)Visible Histories: Heritage and the Politics of Memory,"Critical look at the politics of heritage (both tangible and intangible) and how it shapes the construction and deconstruction of social memory. How the ownership of the past is shaped by colonial practices, state formation and international conventions.",,3,,0;1;0;0,,,3,ANTH100;ANTH103,,,,,,
ANTH445,Political Ecology,"Study of the ways in which political processes shape the relationships of human societies to other species and the physical environment. Resource conflict, environmental degradation, inequality, marginalization, environmental movements, environmental discourse and other topics are analyzed using a combination of ethnographic case studies and theoretical materials.",,3,,0;1;0;0,GEOG445,,3,ANTH100;GEOG129;GEOG128;SUST104,,,,,,
ANTH452,Advanced Topics in Visual Anthropology,"Explorations of the intersections of art and anthropology, with a focus on the social processes that create art objects and experiences. Application of key theories and methods in visual anthropology to cross-cultural case studies. Emphasis on the role of aesthetics, politics, and economics in creating art worlds and sensory practices.",,3,,0;1;0;0,,,3,ANTH100,,,,,,
ANTH474,Language Emergence: From Contact to Constructed Languages,"Anthropological approaches to the study of contact languages, new sign languages, and constructed languages, including how they are formed, their linguistic features, the social context in which they are used, whether or not they can ever be considered real and/or standard languages; some reasons for their development, including trade, unity, education, media, secrecy, and solidarity.",,3,,1;1;0;0,,,3,ANTH100;ANTH170,,,,,,
ANTH475,"Anthropology, History, and Tradition",Surveys contemporary anthropological thinking about how the construction of history and tradition shapes present cultural practices. Critical look at history-making by social scientists and by people themselves.,,3,,1;0;0;0,,,3,ANTH100,,,,,,
SUST104,Introduction to Environmental Humanities,"Explores the contribution of historical, philosophical, anthropological, and literary scholarship to elucidation and mitigation of a specific environmental issue.",,3,,0;1;1;0,,,,,,,,,,
ANTH407,,,,3,,0;0;0;0,,,,,,,,,,
ANTH252,,,,3,,0;0;0;0,,,,,,,,,,
ANTH490,,,,3,,0;0;0;0,,,,,,,,,,
ANTH300,,,,3,,0;0;0;0,,,,,,,,,,
GEOG445,Political Ecology,"Critical, interdisciplinary approach to human-environment relations, development and environmental change. Theoretical insights across geography and anthropology with empirical insights from the Global South and Global North. Power, political economy, struggle over meaning, marginality, conflict and social justice in understanding environmental change across scales.",,3,,0;1;0;0,ANTH445,,3,GEOG128;GEOG129;ANTH100;SUST104,,,,,,
HES101,Human Physiology I,"Human physiology from the cellular to the systemic level including cellular function, metabolism, the neuromuscular system, and the cardiorespiratory systems.",,3,,1;0;0;0,HMKN190;BIOL131,,,,,,,,,
HMKN190,,,,3,,0;0;0;0,,,,,,,,,,
HES111,Human Physiology II,"An introduction to human physiology from the cellular to the systemic level.This course will examine the gastrointestinal system, the neuroendocrine system, renal function, immune function, the integumentary system, reproduction and special senses.",,3,,0;1;0;0,HMKN191;BIOL133,,HES101,,,,,,,
HMKN191,,,,3,,0;0;0;0,,,,,,,,,,
HINT231,Pathophysiology for Health Sciences,"Basic pathophysiology associated with selected diseases and disorders that are commonly encountered by health practitioners in Canada. Pathophysiology, etiology, as well as some of the signs and symptoms, diagnostic tests and treatments currently associated with each disorder.",,3,,1;0;0;0,HMKN335,,BIOL131,BIOL133,,,,,,
HMKN335,,,,3,,0;0;0;0,,,,,,,,,,
APSC169,Fundamentals of Sustainable Engineering Design,"Theory and practice of sustainable engineering. Awareness and risk analysis of potential impacts on society and the environment over the lifecycle of engineering projects. Engineering design process, project lifecycle, and professional responsibility. Team-based design project.",,3,,1;0;0;0,,,,,,,,,,
EESC448,,,,3,,0;0;0;0,,,3,,,,,,,
GEOG498,,,,3,,0;0;0;0,,,,,,,,,,
COSC449,Honours Thesis,"Students will undertake a research project as agreed upon by the student, supervising faculty member, and department head. A written thesis and a public presentation (poster or seminar) are required.",,6,,1;1;0;0,,,4,,,,,,1,
DATA449,Honours Thesis,"Students will undertake a research project as agreed upon by the student, supervising faculty member, and unit head. A written thesis and a public presentation (poster or seminar) are required. ",,6,,1;1;0;0,,,4,,,,,,1,
CHEM449,Honours Thesis,"Students will undertake a research project as agreed upon by the student, supervising faculty member, and unit head. A written thesis and a public presentation (poster or seminar) are required. ",,6,,1;1;0;0,,,4,,,,,,1,
BIOL440,Honours Thesis,"Students will undertake a research project as agreed upon by the student, supervising faculty member, and unit head. A written thesis and a public presentation (poster or seminar) are required. ",,6,,1;1;0;0,,,4,,,,,,1,
MATH222,,,,3,,1;1;1;1,,,,,,,,,,
MATH409,,,,3,,0;0;0;0,,,,,,,,,,
STAT448,Honours Thesis,"Students will undertake a research project as agreed upon by the student, supervising faculty member, and department head. A written thesis and a public presentation (poster or seminar) are required.",,6,,1;1;0;0,,,4,,,,,,1,
PHYS449,Honours Thesis,"Students will undertake a research project as agreed upon by the student, supervising faculty member, and department head. A written thesis and a public presentation (poster or seminar) are required.",,6,,1;1;0;0,,,4,,,,,,1,
CORH203,Communication in the Sciences,"Practice-based course that develops intermediate level communication skills in the sciences. Emphasis on analysis of scientific literature and communicating science to experts in the discipline and lay audiences, in written, visual, oral, and digital modes.",,3,,1;1;0;0,,,ENGL109;ENGL112;ENGL114;ENGL150;ENGL151;ENGL153;ENGL155;ENGL156;APSC176,,,,,,,
APSC176,Engineering Communication,"Written and oral presentations, formal and informal. Purpose, audience, content, format, and tone are studied, as are team-based report writings and presentations.",,3,,1;0;0;0,,,,,,,,,,
ASTR210,Physical Processes in the Universe,"Introduction to observational conventions. Applications of physics to astronomical systems, including orbital mechanics, radiative processes. Introduction to stellar properties and atmospheres, accretion, and general relativity including black holes and modern cosmology.",,3,,1;0;0;0,,,MATH101;MATH103,PHYS121;PHYS122,,,,,,
PHYS225,,,,3,,0;0;0;0,,,,,,,,,,
ASTR321,Stellar Astrophysics,"Stellar structure and evolution. Hydrostatics, radiative transfer, fusion, equations of state. Main sequence stellar models. Low and high mass stellar post main sequence evolution. Stellar remnants.",,3,,0;1;0;0,,,PHYS200,PHYS216,ASTR210,,,,,
CORH205,Communication in the Social Sciences,"Practice-based course that develops intermediate level communication in the social sciences. Emphasis on analysis of social science literature and communicating the social sciences to experts in the discipline and lay audiences, in written, visual, oral, and digital modes.",,3,,1;1;0;0,,,ENGL109;ENGL112;ENGL114;ENGL150;ENGL151;ENGL153;ENGL154;ENGL155;ENGL156;APSC176,,,,,,,
APSC201,Technical Communication,"Written and oral communication in engineering. Report preparation, business correspondence, and oral presentation of technical material. Principles of communication with Indigenous communities.",,3,,0;1;0;0,,,APSC176,,,,,,,
